10656
ATR-X syndrome	C538258
colorectal, breast, pancreaticobiliary, gastric, renal cell and head and neck cancers	D001943
Bile acid synthesis defect, congenital, 4	C535444
Hydrops Fetalis	D015160
Ceroid lipofuscinosis, neuronal 5	C575534
Sialometaplasia, Necrotizing	D012797
biventricular dysfunction	D018754
Chylothorax	D002916
Alexia, Pure	D020237
graft-versus-host disease	D006086
analgesia	D000699
Distal arthrogryposis type 2B	C538400
tetraparetic	-1
PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 3	614190
Hyperargininemia	D020162
Brachydactyly	D059327
bradycardias	D001919
deterioration of renal function	D007674
Ciguatera Poisoning	D036841
Scabies	D012532
Wilson disease	D006527
Chagas Cardiomyopathy	D002598
Spinal Cord Vascular Diseases	D020758
Leishmaniasis, Mucocutaneous	D007897
rheumatic fever	D012213
Myocardial Bridging	D054084
perioral dermatitis	D019557
Stickler syndrome, type 1	C537492
Keratitis, Herpetic	D016849
Woolly Hair, Autosomal Recessive	C564735
Pituitary tumors	D010911
Parietal Foramina 2	C566510
Charcot-Marie-Tooth Disease, Axonal, Type 2n	C567653
Skin Manifestations	D012877
myocardial impairment	D009202
Exsanguination	D058734
Coproporphyria, Hereditary	D046349
Pancreatic Neoplasms	D010190
Naxos disease	C538346
Oroticaciduria 1	C537136
QT prolongation	D008133
asterixis	D020820
acute and chronic pain	D059787
anxiety disorders	D001008
cardiovascular or central nervous system toxicity	D002493
Radial Neuropathy	D020425
INFANTILE CEREBELLAR-RETINAL DEGENERATION	614559
AUTOINFLAMMATION, ANTIBODY DEFICIENCY, AND IMMUNE DYSREGULATION	614878
Glycogen Storage Disease Type VII	D006014
Mesothelioma	D008654
Behcet Syndrome	D001528
Mental Fatigue	D005222
Carcinoid Heart Disease	D002275
GROWTH RETARDATION, IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND HEPATOPATHY	617093
Coma, Post-Head Injury	D020207
ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3	608033
VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1, WITH OR WITHOUT ATRIAL DYSFUNCTION AND/OR DILATED CARDIOMYOPATHY	604772
Hemorrhagic Fevers, Viral	D006482
Muscular Atrophy, Spinal	D009134
Retinitis Pigmentosa 2	C567523
Thrombocytopenia 1	C564052
Popliteal Pterygium Syndrome	C562509
CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 2	615282
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iaa	617082
apical ballooning	D054549
Empty Sella Syndrome	D004652
Ocular Hypotension	D015814
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 38	615516
Prenatal Exposure Delayed Effects	D011297
folate deficiency	C536409
Tooth Abnormalities	D014071
NEMALINE MYOPATHY 8	615348
Surgical Wound Dehiscence	D013529
dysphoric reaction	-1
Ataxia	D001259
hypercapnic	D006935
leiomyosarcoma	D007890
Sleep Disorders, Intrinsic	D020919
Cervical Intraepithelial Neoplasia	D018290
Romano-Ward Syndrome	D029597
Dehydrated	D003681
fibrous myopathy	D005355
GALLBLADDER DISEASE 1	600803
sensory axonal neuropathy	D010523
Pneumonia, Viral	D011024
vocal nerve palsies	D014826
IMMUNODEFICIENCY 8	615401
Kashin-Beck Disease	D057767
dysmyelopoiesis	D009190
behavioral disorder	D002653
ECTODERMAL DYSPLASIA 7, HAIR/NAIL TYPE	614929
AIDS Dementia Complex	D015526
critically ill	D016638
Dyskinesia	D004409
renal or cardiovascular disorders	D007674
Memory Disorders	D008569
NEPHRONOPHTHISIS-LIKE NEPHROPATHY 1	613159
Flatulence	D005414
Postoperative Nausea and Vomiting	D020250
HEART DEFECTS, CONGENITAL, AND OTHER CONGENITAL ANOMALIES	600001
fecal occult blood	-1
Ischemia	D007511
Knee Injuries	D007718
Chylous Ascites	D002915
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 5	613477
Iatrogenic Disease	D007049
Cardiomyopathy dilated with woolly hair and keratoderma	C535581
Corneal Dystrophy, Fleck	C563256
papillary necrosis	D007681
Mungan Syndrome	C548078
Osteogenesis imperfecta, type 2A	C536042
Ovarian Hyperstimulation Syndrome	D016471
hepatic and renal dysfunctions	D007674
nonalcoholic fatty liver disease	D065626
Onychomycosis	D014009
Eructation	D004884
Hyperferritinemia, hereditary, with congenital cataracts	C538137
MENTAL RETARDATION, AUTOSOMAL DOMINANT 23	615761
CYANOSIS, TRANSIENT NEONATAL	613977
Acheiropodia	C536014
Intracranial Arteriovenous Malformations	D002538
Embolism, Amniotic Fluid	D004619
Diabetes Mellitus, Insulin-Dependent, 12	C563326
Spondylitis, Ankylosing	D013167
CATARACT 16, MULTIPLE TYPES	613763
Jaw Abnormalities	D007569
neuroinflammation	D007249
Retinal Hemorrhage	D012166
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2W	616625
Coma	D003128
Sheep Diseases	D012757
Dentinogenesis imperfecta, shields type 3	C538216
Melanoma astrocytoma syndrome	C536149
myotonia	D009222
renal tubular injury	D007674
Diabetic Coma	D003926
hyperthermia	D005334
ptosis on the right upper lid	D001763
NEUTROPENIA, SEVERE CONGENITAL, 6, AUTOSOMAL RECESSIVE	616022
Pseudohypoparathyroidism	D011547
Cutaneous leucocytoclastic vasculitis	D018366
Monilethrix	D056734
BARTTER SYNDROME, TYPE 5, ANTENATAL, TRANSIENT	300971
Facial paresis, hereditary, congenital	C536386
Atrial Fibrillation, Familial, 6	C567400
glaucoma	D005901
MENTAL RETARDATION, AUTOSOMAL DOMINANT 6, WITH OR WITHOUT SEIZURES	613970
HETEROTAXY, VISCERAL, 2, AUTOSOMAL	605376
HETEROTAXY, VISCERAL, 7, AUTOSOMAL	616749
increases in dural and cortical blood flow	D006940
systemic sclerosis	D012595
Spastic Paraplegia 30, Autosomal Recessive	C563677
Ceroid Lipofuscinosis, Neuronal, 2	C566857
involuntary movements	D004409
Cholangiocarcinoma	D018281
Cerebral Palsy, Spastic Quadriplegic, 2	C567867
Impetigo	D007169
infarction	D007238
Amaurosis congenita of Leber, type 1	C536600
POROKERATOSIS 1, MULTIPLE TYPES	175800
Mitral Valve Prolapse	D008945
Gait Disorders, Neurologic	D020233
Xerophthalmia	D014985
Rectal Fistula	D012003
Azotemia	D053099
MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 5	613099
Retinitis Pigmentosa 3	C564520
Amblyopia	D000550
Hemangioendothelioma	D006390
Scotoma	D012607
ARTHROGRYPOSIS, MENTAL RETARDATION, AND SEIZURES	615553
VACTERL Association With Hydrocephalus	C564751
vein thrombosis	D020246
organic psychotic	D019965
ARTHROGRYPOSIS, DISTAL, TYPE 1A	108120
Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness	C562897
Cerebral Hemorrhage, Traumatic	D020202
Dog Diseases	D004283
Impotence	D007172
valvular heart disease	D006349
MASA (Mental Retardation, Aphasia, Shuffling Gait, Adducted Thumbs) Syndrome	C536029
Hypophosphatemia	D017674
Alzheimer disease type 4	C536596
Swallowing abnormalities	D020447
Tumoral Calcinosis, Normophosphatemic, Familial	C566473
renal or hepatic toxicity	D007674
Takotsubo cardiomyopathy	D054549
Communication Disorders	D003147
Encephaloclastic Proliferative Vasculopathy	C565593
Microcephaly, Primary Autosomal Recessive, 1	C565384
Herpes Zoster	D006562
Hemoglobinopathies	D006453
LEOPARD SYNDROME 3	613707
ATRIAL SEPTAL DEFECT 8	614433
Lymphedema	D008209
Myopathy, Reducing Body, X-Linked, Early-Onset, Severe	C567469
Diabetes Mellitus, Noninsulin-Dependent, 1	C563359
Netherton Syndrome	D056770
SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 5	614881
LANGUAGE DELAY AND ATTENTION DEFICIT-HYPERACTIVITY DISORDER/COGNITIVE IMPAIRMENT WITH OR WITHOUT CARDIAC ARRHYTHMIA	617182
Indifference to Pain, Congenital, Autosomal Recessive	C565467
Hand-Foot Syndrome	D060831
THYROTOXIC PERIODIC PARALYSIS, SUSCEPTIBILITY TO, 2	613239
Birdshot Chorioretinopathy	D000080365
cerebral abnormalities	D001927
Chromosomal Instability	D043171
Lichen Planus	D008010
Lung Injury	D055370
Growth Disorders	D006130
chronic hepatitis B virus infection	D019694
sensorineural hearing loss	D006319
platelet aggregation	D001791
Myasthenia, Familial Infantile, 1	C565289
Tonic-clonic seizures	D004830
reflex sympathetic dystrophy	D012019
Corneal Diseases	D003316
renal toxicity	D007674
arterial hypotension	D007022
psychogenic parasitosis	D063726
Antiphospholipid Syndrome	D016736
CILIARY DYSKINESIA, PRIMARY, 17	614679
Proteinuria	D011507
OLMSTED SYNDROME, X-LINKED	300918
MCL	D020522
Graft Occlusion, Vascular	D006083
CHONDRODYSPLASIA WITH PLATYSPONDYLY, DISTINCTIVE BRACHYDACTYLY, HYDROCEPHALY, AND MICROPHTHALMIA	300863
dementia	D003704
Hypoglycemia, leucine-induced	C537150
Nerve Sheath Neoplasms	D018317
Myelitis	D009187
granulosa cell tumors	D006106
neutropenia	D009503
RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 5	616716
thromboembolic episodes	D013923
Abducens Nerve Diseases	D020434
Amelogenesis Imperfecta, Type Ic	C567147
Parkinsonism	D010300
loss of vision	D014786
ASPARAGINE SYNTHETASE DEFICIENCY	615574
locked-in syndrome	D011782
MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2	614052
RAJAB INTERSTITIAL LUNG DISEASE WITH BRAIN CALCIFICATIONS 1	613658
ocular hypotensive	D015814
Pneumocystis carinii pneumonia	D011020
hallucinatory	D006212
neurologic sequelae	D009422
Constriction, Pathologic	D003251
Shprintzen Golberg craniosynostosis	C537328
Cerebral sinus thrombosis	D012851
Thrombocytopenia, Platelet Dysfunction, Hemolysis, and Imbalanced Globin Synthesis	C564050
Glioblastoma	D005909
Fetal Distress	D005316
Cardiomyopathy, Dilated, 1M	C564390
Dementia, Multi-Infarct	D015161
BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 4	615007
Focal Segmental Glomerulosclerosis 2	C565831
Complement component 5 deficiency	C537005
autism	D001321
foot deformities	D005530
Tracheal Neoplasms	D014134
Magnesium Deficiency	D008275
Oligospermia	D009845
Spinal Muscular Atrophy, Distal, Congenital Nonprogressive	C563981
neurologic toxicity	D020258
ischaemic	D007511
Arrhythmogenic Right Ventricular Dysplasia, Familial, 5	C565776
liver tumors	D008113
dermatitis	D003872
Nails, Malformed	D009264
postural hypotension	D007024
Neonatal-onset citrullinemia type 2	C536398
Pain, Intractable	D010148
hyperparathyroidism	D006961
BLEEDING DISORDER, PLATELET-TYPE, 19	616176
Hepatolenticular Degeneration	D006527
Metaphyseal Dysplasia without Hypotrichosis	C563574
CHARCOT-MARIE-TOOTH DISEASE, TYPE 4K	616684
SPASTIC PARAPLEGIA 9B, AUTOSOMAL RECESSIVE	616586
Hypercalcemia, Idiopathic, of Infancy	C562581
Congenital Cataracts, Facial Dysmorphism, And Neuropathy	C565822
Metachromatic Leukodystrophy due to Saposin B Deficiency	C562609
Herpes Labialis	D006560
Tropical Calcific Pancreatitis	C564276
Meckel syndrome type 3	C536132
Cutis Laxa	D003483
corneal ulcers	D003320
MENTAL RETARDATION, X-LINKED 41	300849
Lyme Neuroborreliosis	D020852
Arterial Occlusive Disease, Progressive, with Hypertension, Heart Defects, Bone Fragility, and Brachysyndactyly	C566529
CDKL5 deficiency disorder	C564064
hypertensives	D006973
heart damage	D006331
Ceroid Lipofuscinosis, Neuronal, 6	C566627
Amyotrophic Lateral Sclerosis 6, Autosomal Recessive	C567699
eosinophilic myocarditis	D009205
Epilepsy, Complex Partial	D017029
LEBER CONGENITAL AMAUROSIS 7	613829
Weyers acrofacial dysostosis	C536695
bladder dysfunction	D001745
Diabetes, Gestational	D016640
Spondylarthropathies	D025242
PEROXISOME BIOGENESIS DISORDER 10B	617370
Extensively Drug-Resistant Tuberculosis	D054908
Epilepsy	D004827
cardiac dysfunction	D006331
premature ventricular contraction	D018879
Subarachnoid Hemorrhage	D013345
PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 2	614390
embolic events	D004617
DESANTO-SHINAWI SYNDROME	616708
WHITE-SUTTON SYNDROME	616364
Ehlers-Danlos syndrome, progeroid form	C536201
Tongue Diseases	D014060
immunodeficiency	D007153
Johanson Blizzard syndrome	C535880
Pigmented Paravenous Chorioretinal Atrophy	C566801
MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 7	616052
MYOPATHY, DISTAL, TATEYAMA TYPE	614321
RETINITIS PIGMENTOSA 69	615780
DENTIN DYSPLASIA, TYPE II	125420
MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6	613703
Renal Fanconi syndrome	D005198
PARKINSON DISEASE 17	614203
memory deficits	D008569
Pemphigoid, Bullous	D010391
arteritis	D001167
T-cell lymphoblastic leukaemia and lymphoma	D015458
Ileitis	D007079
Nephronophthisis 7	C566930
Overdose	D062787
liver, blood, skin, and renal disorders	D006402
myocardial ischemic injury	D017202
IMMUNODEFICIENCY 24	615897
psoriatic	D011565
Cataract	D002386
heroin abuse	D006556
Streptococcal Infections	D013290
Brugada Syndrome 4	C567508
Congenital disorder of glycosylation type 1F	C535744
gynecomastia	D006177
Keratosis palmoplantaris papulosa	C536161
Griscelli syndrome type 2	C537302
Knuckle pads, leuconychia and sensorineural deafness	C537210
Helminthiasis, Animal	D006374
DEAFNESS, AUTOSOMAL DOMINANT 70	616968
Spinal Stenosis	D013130
myocardial stunning	D017682
Anterior segment mesenchymal dysgenesis	C537775
GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, 3	613960
Deafness, Autosomal Dominant 41	C564272
Borjeson-Forssman-Lehmann syndrome	C536575
Deafness, Autosomal Recessive 21	C566353
DIAMOND-BLACKFAN ANEMIA 14 WITH MANDIBULOFACIAL DYSOSTOSIS	300946
multiple cranial-nerve involvement	D003389
Nephritis	D009393
Diabetes Insipidus, Neurogenic	D020790
Pseudorabies	D011557
Cytokine Release Syndrome	D000080424
mastocytosis	D008415
Amish lethal microcephaly	C538247
Ichthyosis, Cyclic, with Epidermolytic Hyperkeratosis	C564367
Tyrosine Kinase 2 Deficiency	C566928
Foot-and-Mouth Disease	D005536
elevated intraocular pressure	D009798
chronic hepatitis C	D019698
Dermatitis, Contact	D003877
Glomerular and tubular injury	D007674
Trimethylaminuria	C536561
Cone-Rod Dystrophy 12	C567206
dry mouth	D014987
Sinusitis	D012852
post-transplantation lymphoproliferative disorder	D008232
pure red cell aplasia	D012010
calculus	D002137
hypothermic	D007035
Sick Sinus Syndrome 1, Autosomal Recessive	C563907
Dyskinesias	D020820
Histoplasmosis	D006660
abnormal involuntary movements	D004409
endotoxemia	D019446
Pneumonia, Pneumococcal	D011018
POROKERATOSIS 9, MULTIPLE TYPES	616631
Lissencephaly 3	C566908
Insomnia, Fatal Familial	D034062
Ter Haar syndrome	C537274
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 12	614924
Deafness, autosomal dominant nonsyndromic sensorineural 17	C538050
mydriasis	D015878
ECTODERMAL DYSPLASIA 13, HAIR/TOOTH TYPE	617392
Megalocornea	C562829
BARDET-BIEDL SYNDROME 16	615993
CIMD	D019970
reduction of food intake	D000855
Vulvar Neoplasms	D014846
portal hypertension	D006975
Cardiomyopathy, Familial Hypertrophic, 14	C567684
SPASTIC PARAPLEGIA 75, AUTOSOMAL RECESSIVE	616680
MDS	D009190
mitochondrial toxicity	D028361
Muscular Dystrophies, Limb-Girdle	D049288
Transaldolase Deficiency	C563207
Miyoshi myopathy	C537480
Dementia, familial Danish	C538209
Infarction	D007238
Brachydactyly with hypertension	C537095
BERNARD-SOULIER SYNDROME, TYPE A2, AUTOSOMAL DOMINANT	153670
Carnitine-Acylcarnitine Translocase Deficiency	C562812
CHC	D019698
THIAMINE METABOLISM DYSFUNCTION SYNDROME 4 (BILATERAL STRIATAL DEGENERATION AND PROGRESSIVE POLYNEUROPATHY TYPE)	613710
Spastic Paraplegia-50, Autosomal Recessive	C567858
Carcinoma, Mucoepidermoid	D018277
IMMUNE SUPPRESSION	146850
Deafness, Autosomal Dominant 28	C563890
Brachial Plexus Neuropathies	D020516
Hepatitis C, Chronic	D019698
hepatitis C virus infection	D006526
MICROPHTHALMIA, ISOLATED 5	611040
Amnesia, Retrograde	D000648
Microphthalmia, Isolated 4	C567757
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11	614922
Tuberous Sclerosis	D014402
Mucopolysaccharidosis VI	D009087
liver abscess	D008100
Glycogen Storage Disease, Type IXD	C564485
Helicobacter Infections	D016481
Epileptic Encephalopathy, Early Infantile, 4	C567404
Infectious Bovine Rhinotracheitis	D007241
Cystinosis, ocular nonnephropathic	C535765
Thrombophilia, X-Linked, Due To Factor Ix Defect	C567581
liver, blood, skin, and renal disorders	D008107
syncopal episode	D013575
Lung Diseases, Interstitial	D017563
Filariasis	D005368
Alzheimer disease type 2	C536595
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 34	616645
NEPHROTIC SYNDROME, TYPE 11	616730
Acute Kidney Injury	D058186
CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE F	615185
language delay	D007805
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIn	616721
SPASTIC PARAPLEGIA 56, AUTOSOMAL RECESSIVE	615030
Mental Retardation, Autosomal Recessive 5	C567018
Erythema Nodosum	D004893
Mulibrey Nanism	D050336
Glaucoma 1, Open Angle, G	C563692
Amaurosis congenita of Leber, type 9	C536603
MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 2	155601
lung mass	D055370
Pathological Conditions, Signs and Symptoms	D013568
DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 3	613988
leukocyturia	-1
RETINITIS PIGMENTOSA 54	613428
Cystic Kidney Disease with Ventriculomegaly	C565657
Combined Oxidative Phosphorylation Deficiency 1	C563797
Piedra	D010854
LYMPHATIC MALFORMATION 7	617300
Mental Retardation, X-Linked 9	C563137
Sexual and Gender Disorders	D019968
Hypochondroplasia	C562937
Cartilage Diseases	D002357
GLYCOGEN STORAGE DISEASE IXa1	306000
Temporomandibular Joint Dysfunction Syndrome	D013706
Tourette Syndrome	D005879
IBS	D043183
Carotid Artery Diseases	D002340
18-Hydroxylase deficiency	C537806
Accelerated Idioventricular Rhythm	D016170
Myositis	D009220
Hypoadrenocorticism, Familial	D000075262
VITREORETINOPATHY, NEOVASCULAR INFLAMMATORY	193235
chondrodysplasia punctata	D002806
Goiter, Nodular	D006044
Westphal disease	C536694
Sarcoma, Ewing	D012512
scabies	D012532
superior vena cava (SVC) syndrome	D013479
Pancreatic cancer, adult	C535836
focal nodular hyperplasia	D020518
Cerebral microbleeds	-1
Butyrylcholinesterase deficiency	C537417
Spinal Muscular Atrophies of Childhood	D014897
Fungemia	D016469
encephalopathy	D001927
neuropathic	D009422
gastrointestinal motility disorders	D015835
cancer of the renal pelvis, ureter or bladder	D007680
Synostosis, Carpal, with Dysplastic Elbow Joints and Brachydactyly	C566090
cardiac dilation and dysfunction	D006331
tetanus	D013746
Sarcoma, Alveolar Soft Part	D018234
DEAFNESS, AUTOSOMAL DOMINANT 65	616044
cardiomyopathy	D009202
Factor XII Deficiency	D005175
Candidiasis, Vulvovaginal	D002181
galactorrhea	D005687
Coronary Disease	D003327
alcoholic cirrhosis	D008104
Compartment Syndromes	D003161
Cicatrix, Hypertrophic	D017439
Tonsillar Neoplasms	D014067
Central Nervous System Diseases	D002493
Hypokinesia	D018476
Amyloid Neuropathies, Familial	D028227
anemic	D000740
renal or cardiovascular disorders	D002318
diabetic	D003920
Keratoconjunctivitis	D007637
hematologic syndrome	D006402
Ureteral Obstruction	D014517
Cat Diseases	D002371
Amyloid angiopathy	C538248
Presentey Anomaly	C564893
DEAFNESS, AUTOSOMAL DOMINANT 40	616357
CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3	615284
IMMUNODEFICIENCY, COMMON VARIABLE, 8, WITH AUTOIMMUNITY	614700
ureteric stones or obstruction	D014517
Ciliophora Infections	D016770
right bundle branch block	D002037
rheumatologic diseases	D012216
bronchorrhoea	-1
cardiac malformations	D006331
Ocular Hypertension	D009798
Hyperlipoproteinemia Type I	D008072
Spinal Cord Injuries	D013119
Glomerulopathy with fibronectin deposits	C536826
tuberculous	D014376
Anxiety	D001008
Bronchopulmonary Dysplasia	D001997
hyperinsulinemia	D006946
nephrotic syndromes	D009404
Personality Disorders	D010554
Mesenchymoma	D008637
Thrombocytopenia, Neonatal Alloimmune	D054098
head and neck cancer	D006258
STICKLER SYNDROME, TYPE IV	614134
Leber Congenital Amaurosis 12	C565697
ALF	D017114
bradyarrhythmia	D001919
Kidney Papillary Necrosis	D007681
Premature Birth	D047928
CONE-ROD SYNAPTIC DISORDER, CONGENITAL NONPROGRESSIVE	610427
tension-type headache	D018781
behavioral cross-sensitization	D006948
circulatory failure	D012769
Thrombophilia due to Thrombomodulin Defect	C566057
Venous Malformations, Multiple Cutaneous and Mucosal	C563977
Brugada Syndrome 7	C567734
BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 17	615311
